epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1080.51,0.97547,49.9603,0.26774,0,0,0,0,0.84144,3.74454,0.2006,0.00332134,0.00332134,0.00332134
2,2164.02,0.57894,1.20729,0.14896,0,0,0,0,0,0.00012,0,0.0066415,0.0066415,0.0066415
3,3268.13,0.43037,0.68712,0.1408,0,0,0,0,0.07687,0.12962,0.01664,0.00994846,0.00994846,0.00994846
4,4383.77,0.56749,0.98162,0.20857,0,0,0,0,1.256,1.95904,0.25702,0.0099406,0.0099406,0.0099406
5,5503.27,0.67283,1.12796,0.21189,0,0,0,0,0.66347,1.01965,0.33648,0.0099208,0.0099208,0.0099208
6,6626.31,0.99572,1.62511,0.272,0,0,0,0,1.47188,2.14016,0.31409,0.009901,0.009901,0.009901
7,7750.85,0.87015,1.40759,0.22749,0,0,0,0,1.10266,1.68794,0.24185,0.0098812,0.0098812,0.0098812
8,8852.86,0.78933,1.31099,0.22326,0,0,0,0,0.94359,1.40478,0.23238,0.0098614,0.0098614,0.0098614
9,9952.29,0.80887,1.36572,0.23293,0,0,0,0,0.82613,1.42533,0.21685,0.0098416,0.0098416,0.0098416
10,11054.3,1.03981,1.66704,0.25664,0,0,0,0,1.45567,2.06146,0.31216,0.0098218,0.0098218,0.0098218
11,12155.5,1.19597,1.87453,0.29059,0,0,0,0,1.30923,1.97165,0.31394,0.009802,0.009802,0.009802
12,13253.1,1.05386,1.67953,0.28014,0,0,0,0,1.41472,2.02968,0.36327,0.0097822,0.0097822,0.0097822
13,14353.8,1.12643,1.80754,0.29526,0,0,0,0,1.50742,2.21863,0.33039,0.0097624,0.0097624,0.0097624
14,15453.6,1.22147,1.99271,0.282,0,0,0,0,1.41858,2.06632,0.30565,0.0097426,0.0097426,0.0097426
15,16570,0.90061,1.49276,0.23193,0,0,0,0,1.35076,2.11683,0.30199,0.0097228,0.0097228,0.0097228
16,17719.6,1.14454,1.81969,0.29386,0,0,0,0,1.38753,2.1013,0.31064,0.009703,0.009703,0.009703
17,18850.6,1.03898,1.66699,0.25467,0,0,0,0,1.439,2.04708,0.30258,0.0096832,0.0096832,0.0096832
18,19980.1,0.9408,1.48595,0.22465,0,0,0,0,1.53446,2.21608,0.32919,0.0096634,0.0096634,0.0096634
19,21111,1.27116,2.05725,0.31287,0,0,0,0,1.53643,2.25105,0.34341,0.0096436,0.0096436,0.0096436
20,22236.9,1.18796,1.87062,0.26903,0,0,0,0,1.53917,2.20317,0.3323,0.0096238,0.0096238,0.0096238
